t,X,Y,Z
2.672,-9.482726582054887,-13.429729960582335,22.36998526400065
2.676,-9.640789713305711,-13.586980091356173,22.646567997847278
2.68,-9.798687317026053,-13.736486149376486,22.934560463628415
2.684,-9.956044895155754,-13.877187003490628,23.23364721697294
2.688,-10.11248200911514,-14.008078939754652,23.543449582161827
2.692,-10.267612279805014,-14.128215661433313,23.863525652128136
2.696,-10.421043387606664,-14.236708289000065,24.193370288457007
2.7,-10.572377072381856,-14.332725360137061,24.53241512138568
2.704,-10.721209133472842,-14.415492829735157,24.880028549803466
2.708,-10.86712942970235,-14.484294069893911,25.23551574125178
2.712,-11.009721879373593,-14.538469869921578,25.598118631924113
2.716,-11.148564460270268,-14.577418436335112,25.967015926666047
2.72,-11.283229209656545,-14.600595392860171,26.34132309897525
2.724,-11.413282224277086,-14.607513780431114,26.72009239100148
2.728,-11.538283660357026,-14.597744057190997,27.10231281354658
2.732,-11.657787733601985,-14.570914098491578,27.486910146064478
2.736,-11.771342719198067,-14.526709196893316,27.872746936661194
2.74,-11.878490951811852,-14.464872062165371,28.258622502094834
2.744,-11.978768825590404,-14.385202821285603,28.64327292777559
2.748,-12.071706794161273,-14.287559018440568,29.025371067765743
2.7520000000000002,-12.156829370632481,-14.171855615025528,29.403526544779655
2.7560000000000002,-12.233655127592542,-14.038064989644445,29.776285750183785
2.7600000000000002,-12.301696697110444,-13.88621693810998,30.14213184399667
2.7640000000000002,-12.360597160317301,-13.715840835957332,30.499514058104438
2.7680000000000002,-12.410333190106751,-13.526050951963727,30.847020031024982
2.7720000000000002,-12.450574433829523,-13.318317850232951,31.18333385650298
2.7760000000000002,-12.481012066694833,-13.094206367279241,31.507226526050495
2.7800000000000002,-12.501387428927927,-12.855226348083619,31.817558625581455
2.7840000000000003,-12.51149202577008,-12.602832646093887,32.11328033541166
2.7880000000000003,-12.511167527478595,-12.338425123224628,32.39343143025875
2.7920000000000003,-12.500305769326808,-12.06334864985721,32.65714127924227
2.7960000000000003,-12.478848751604083,-11.778893104839783,32.90362884588359
2.8000000000000003,-12.44678863961581,-11.48629337548728,33.13220268810596
2.8040000000000003,-12.404167763683416,-11.186729357581413,33.34226095823451
2.8080000000000003,-12.351078619144351,-10.88132595537068,33.53329140299621
2.8120000000000003,-12.287663866352096,-10.571153081570362,33.70487136351992
2.816,-12.214116330676172,-10.25722565736255,33.85666777533632
2.82,-12.130679002502104,-9.940503612396022,33.98843716837803
2.824,-12.037645037231467,-9.621891884786436,34.10002566697947
2.828,-11.935357755281867,-9.302240421116203,34.19136898987694
2.832,-11.824210642086928,-8.982344176434513,34.26249245020861
2.836,-11.70464734809631,-8.662943114257338,34.31351095551453
2.84,-11.577161688775705,-8.344722206567434,34.34462900773659
2.844,-11.442297644606828,-8.02831143381434,34.35614070321856
2.848,-11.300649361087427,-7.714285784914373,34.34842973270605
2.852,-11.15286114873128,-7.403165257250637,34.32196938134658
2.856,-10.99953122487467,-7.095668329415929,34.2773839277601
2.86,-10.84034508313284,-6.794998221700613,34.21594045370274
2.864,-10.675671375627353,-6.5025551455397865,34.138419356484
2.868,-10.506127961067984,-6.218976555631705,34.04544369027206
2.872,-10.33231475747106,-5.944833477941842,33.93765868130396
2.876,-10.154813742159464,-5.680630509702897,33.8157317278856
2.88,-9.97418895176263,-5.426805819414786,33.68035240039175
2.884,-9.790986482216542,-5.183731146844651,33.53223244126602
2.888,-9.60573448876374,-4.951711803026852,33.372105765020905
2.892,-9.418943185953317,-4.730986670262972,33.20072845823775
2.896,-9.231104847640916,-4.5217282021218175,33.018878779566755
2.9,-9.04269380698873,-4.32404242343941,32.82735715972699
2.904,-8.854166456465508,-4.137968930319001,32.62698620150639
2.908,-8.665961247846555,-3.963480890131058,32.41861067976174
2.912,-8.47849869221372,-3.8004850415132703,32.20309754141869
2.916,-8.29218135995541,-3.6488216943705516,31.981335905471756
2.92,-8.107393880766587,-3.508264729875032,31.75423706298431
2.924,-7.924502943648756,-3.3785216004660676,31.522734477088584
2.928,-7.743857296909983,-3.2592333298502356,31.287783782985674
2.932,-7.565787748164883,-3.1499745130013324,31.050362787945538
2.936,-7.390607164334627,-3.0502533161603775,30.811471471306998
2.94,-7.2186228150970315,-2.9595995558764105,30.57172751405047
2.944,-7.0501171204390936,-2.87788009550432,30.330264601810953
2.948,-6.885258407306386,-2.8047931854457757,30.087304565953676
2.952,-6.724196084907324,-2.740010925528598,29.843203533698432
2.956,-6.56706855946897,-2.6832088854493965,29.598298751687473
2.96,-6.4140032342370334,-2.63406610477357,29.352908585985517
2.964,-6.265116509475871,-2.5922650929353055,29.107332522079734
2.968,-6.120513782468487,-2.5574918292375806,28.861851164879752
2.972,-5.980289447516533,-2.529435762852161,28.616726238717664
2.976,-5.844526895940308,-2.507789812819602,28.372200587348026
2.98,-5.713298516078756,-2.4922503680492483,28.12849817394784
2.984,-5.586665693289469,-2.482517287319233,27.885824081116578
2.988,-5.46467880994869,-2.478293899276479,27.64436451087617
2.992,-5.347377245451303,-2.479287002436698,27.404286784671005
2.996,-5.234789376210844,-2.4852068651843924,27.165739343367925
3.0,-5.1269325756594935,-2.49576722577285,26.928851747256243
3.004,-5.023813214248081,-2.510685292324152,26.69373467604772
3.008,-4.925426659446082,-2.5296817428291667,26.460479928876588
3.012,-4.831757275741618,-2.5524807251475514,26.229160424299526
3.016,-4.742778424641461,-2.5788098570077533,25.99983020029568
3.02,-4.6584524646710275,-2.608400226007008,25.772524414266655
3.024,-4.578686210431428,-2.641136929159259,25.547318279544978
3.028,-4.50335077583653,-2.6770922344169845,25.32434256303223
3.032,-4.432399016810315,-2.7161313320781373,25.103639837842824
3.036,-4.3657841190941,-2.7581246087165843,24.88525110432436
3.04,-4.303457951245513,-2.8029525502685306,24.66921772591535
3.044,-4.245371064638499,-2.8505057420325164,24.45558142914523
3.048,-4.1914726934633135,-2.9006848686694195,24.24438430363437
3.052,-4.141710754726531,-2.9534007142024525,24.035668802094058
3.056,-4.096031848251036,-3.0085741620171658,23.829477740326503
3.06,-4.054381256676027,-3.0661361948614454,23.625854297224844
3.064,-4.016702945457021,-3.126027894845514,23.424842014773148
3.068,-3.982939562865842,-3.188200443441931,23.2264847980464
3.072,-3.9530324399906345,-3.252615121485591,23.030826915210508
3.076,-3.9269215907358537,-3.319243309173727,22.83791299752231
3.08,-3.9045457118222693,-3.388066486065906,22.647788039329566
3.084,-3.8858421827869654,-3.459076231084033,22.460497398070963
3.088,-3.87074706598334,-3.532274222512349,22.276086794276107
3.092,-3.8591951065811045,-3.607672237997432,22.094602311565534
3.096,-3.8511197325662856,-3.6852921545481943,21.916090396650706
3.1,-3.8464530547412226,-3.7651659485358877,21.740597859334
3.104,-3.84512586672457,-3.847335695694097,21.568171872508724
3.108,-3.847067644951296,-3.9318535711187463,21.398859972159116
3.112,-3.852206548672682,-4.018781849268095,21.232710057360325
3.116,-3.860442879258171,-4.108187833697151,21.069798777345547
3.12,-3.8716607441370554,-4.200108420161562,20.910263588494633
3.124,-3.8858855914959496,-4.29456959695906,20.754144977531297
3.128,-3.903150206766508,-4.391599960191408,20.601482284514613
3.132,-3.9234844945418748,-4.491230409646539,20.452322651303103
3.136,-3.946915478576686,-4.593494148798553,20.306721021554722
3.14,-3.973467301787069,-4.698426684807718,20.164740140726867
3.144,-4.003161226250642,-4.806065828520471,20.026450556076362
3.148,-4.036015633206512,-4.91645169446942,19.891930616659483
3.152,-4.0720460230552815,-5.029626700873339,19.761266473331933
3.156,-4.11126501535904,-5.145635569637172,19.63455207874886
3.16,-4.153682348841369,-5.264525326352029,19.511889187364844
